,hh_income,hh_lifeCycle,occupation_type,age,motif_R,motif_RAAR,motif_RAOAR,motif_RAOR,motif_RAR,motif_ROAOR,motif_ROAR,motif_ROOR,motif_ROR,office_block,residential_block,amenity_block
74,6,4,3,43,0,0,1,0,0,0,0,0,0,3,19,9.0
75,5,6,3,58,0,0,0,1,0,0,0,0,0,3,15,7.0
76,8,2,3,26,0,0,0,0,0,0,0,0,1,3,1,
77,6,4,3,40,0,0,0,1,0,0,0,0,0,3,1,9.0
78,8,8,3,27,0,1,0,0,0,0,0,0,0,3,19,9.0
79,10,2,3,37,0,0,1,0,0,0,0,0,0,3,1,7.0
80,8,8,3,19,0,0,0,0,0,0,0,0,1,3,1,
81,11,2,3,33,0,0,0,0,0,0,1,0,0,3,5,7.0
82,11,2,3,59,0,0,0,0,0,0,0,0,1,3,13,
83,10,2,3,50,0,0,0,0,0,0,0,0,1,3,1,
84,6,10,3,65,0,0,0,0,0,0,1,0,0,3,19,7.0
85,6,4,3,43,0,0,1,0,0,0,0,0,0,3,19,7.0
86,2,3,3,44,0,0,1,0,0,0,0,0,0,3,1,9.0
87,3,6,3,43,0,0,0,0,0,0,0,0,1,3,5,
88,8,8,3,27,0,1,0,0,0,0,0,0,0,3,19,9.0
89,11,2,3,38,0,0,0,1,0,0,0,0,0,3,15,11.0
90,6,6,3,55,0,0,0,0,0,0,1,0,0,3,15,7.0
91,7,4,3,50,0,0,0,0,0,0,0,0,1,3,5,
92,6,6,3,55,0,0,0,0,0,0,1,0,0,3,15,11.0
93,8,2,3,59,0,0,0,0,0,0,0,0,1,3,1,
94,8,10,3,50,0,0,0,0,0,0,1,0,0,3,15,9.0
95,5,2,4,28,0,0,0,0,1,0,0,0,0,3,1,12.0
96,11,2,4,32,0,0,0,0,0,0,0,0,1,3,1,
97,7,10,4,46,0,0,0,1,0,0,0,0,0,3,19,7.0
98,8,10,4,69,0,0,0,0,0,0,0,0,1,3,13,
99,7,2,4,68,0,0,0,0,0,0,0,0,1,3,1,
100,7,1,4,30,0,0,0,0,0,0,1,0,0,3,19,9.0
101,6,1,4,56,0,0,0,0,0,0,0,1,0,3,14,
102,9,1,4,25,0,0,0,0,0,0,0,0,1,3,15,
103,11,2,4,47,0,0,0,0,0,1,0,0,0,3,1,7.0
104,8,2,4,24,0,0,0,0,0,0,0,0,1,3,15,
105,8,2,4,54,0,0,1,0,0,0,0,0,0,3,1,21.0
106,4,10,4,74,0,1,0,0,0,0,0,0,0,3,15,7.0
107,4,1,4,78,0,0,0,0,1,0,0,0,0,3,15,21.0
108,5,10,4,26,0,0,0,0,0,0,0,0,1,3,19,
109,6,10,4,65,0,0,0,1,0,0,0,0,0,3,15,21.0
110,7,5,4,39,0,0,0,0,0,0,0,0,1,3,15,
111,11,2,4,32,0,0,0,0,0,0,1,0,0,3,15,7.0
112,8,8,4,58,0,0,0,0,1,0,0,0,0,3,13,3.0
113,11,4,4,38,0,0,0,0,0,0,1,0,0,3,1,9.0
114,2,2,4,25,0,0,0,0,0,0,0,0,1,3,1,
115,11,10,4,74,0,0,1,0,0,0,0,0,0,3,1,21.0
116,7,1,4,30,0,0,0,0,0,0,1,0,0,3,15,8.0
117,1,2,4,24,0,0,0,0,0,1,0,0,0,3,1,9.0
118,9,2,4,30,0,0,0,0,0,0,1,0,0,3,15,11.0
119,8,1,4,46,0,0,0,0,0,0,1,0,0,3,19,9.0
120,10,2,4,38,1,0,0,0,0,0,0,0,0,3,19,
121,5,2,4,46,0,0,0,0,0,1,0,0,0,3,1,9.0
122,4,6,4,35,0,0,0,0,0,0,1,0,0,3,14,9.0
123,11,4,4,45,0,0,0,0,0,0,0,0,1,3,5,
124,7,2,4,68,0,1,0,0,0,0,0,0,0,3,1,11.0
125,8,8,5,17,0,0,0,0,0,0,0,0,1,3,13,
126,5,7,5,16,0,0,0,0,1,0,0,0,0,3,1,11.0
127,9,6,5,17,0,0,0,0,0,0,1,0,0,3,15,9.0
128,3,6,5,16,0,0,0,0,0,0,0,0,1,3,1,
129,8,6,5,16,0,1,0,0,0,0,0,0,0,3,18,7.0
130,8,6,5,16,0,1,0,0,0,0,0,0,0,3,15,11.0
131,7,4,5,16,0,0,0,0,1,0,0,0,0,3,19,11.0
132,1,5,5,17,0,0,0,0,0,0,0,0,1,3,1,
133,7,6,5,16,0,0,0,0,0,0,1,0,0,3,5,11.0
134,8,8,5,17,0,1,0,0,0,0,0,0,0,3,1,3.0
135,7,4,5,16,0,0,0,0,0,0,1,0,0,3,5,11.0
136,5,6,5,17,0,0,0,0,0,0,1,0,0,3,1,21.0
137,5,6,5,17,0,0,0,0,0,0,1,0,0,3,4,7.0
138,7,6,5,16,0,0,0,0,0,0,1,0,0,3,13,21.0
139,4,8,5,17,0,0,0,0,0,0,0,0,1,3,1,
140,5,6,5,17,0,0,0,0,0,0,1,0,0,3,19,11.0
141,1,3,5,16,0,0,0,0,0,0,0,0,1,3,1,
142,6,8,5,16,0,0,1,0,0,0,0,0,0,3,5,12.0
143,7,6,5,17,0,0,0,1,0,0,0,0,0,3,1,21.0
144,9,6,5,17,0,0,0,0,0,0,1,0,0,3,15,21.0
145,1,3,5,16,0,0,0,0,0,0,0,0,1,3,5,
146,10,8,5,17,0,0,0,0,0,0,0,0,1,3,1,
147,8,6,5,16,0,1,0,0,0,0,0,0,0,3,19,11.0
148,7,4,5,16,0,0,0,0,1,0,0,0,0,3,5,9.0
149,7,4,5,16,0,0,0,0,0,0,1,0,0,3,15,21.0
150,5,6,5,17,0,0,0,0,0,0,1,0,0,3,15,19.0
151,6,8,5,16,0,0,0,0,1,0,0,0,0,3,1,9.0
152,8,8,5,16,0,0,0,0,0,0,1,0,0,3,15,21.0
153,5,7,5,16,0,0,0,0,1,0,0,0,0,3,19,7.0
154,5,6,5,17,0,0,0,0,0,0,1,0,0,3,15,11.0
155,8,6,1,43,0,1,0,0,0,0,0,0,0,4,1,3.0
156,4,2,2,48,0,0,0,0,0,1,0,0,0,4,15,9.0
157,8,2,3,41,0,0,0,0,0,0,0,0,1,4,19,
158,10,4,4,38,0,0,0,0,0,0,0,0,1,4,5,
159,4,8,5,17,0,0,0,0,0,0,0,0,1,4,5,
160,6,5,1,18,0,0,0,0,0,0,1,0,0,5,15,13.0
161,11,2,1,52,0,0,0,0,0,0,0,0,1,5,5,
162,6,2,1,30,0,0,0,0,0,0,1,0,0,5,19,21.0
163,6,10,1,44,0,0,0,0,0,0,0,0,1,5,15,
164,4,2,1,39,0,0,0,0,0,0,0,0,1,5,15,
165,2,2,1,25,0,0,0,0,0,0,0,0,1,5,1,
166,6,5,1,18,0,0,0,0,0,0,1,0,0,5,1,9.0
167,7,7,1,18,0,0,0,0,0,0,0,1,0,5,5,
168,3,2,1,26,0,0,0,0,1,0,0,0,0,5,1,7.0
169,10,2,1,30,0,0,0,0,0,0,0,0,1,5,15,
170,4,6,1,58,0,1,0,0,0,0,0,0,0,5,5,2.0
171,2,1,1,26,0,0,0,0,1,0,0,0,0,5,13,21.0
172,1,1,1,62,0,0,0,0,0,0,1,0,0,5,1,7.0
173,8,8,1,48,0,1,0,0,0,0,0,0,0,5,1,9.0
174,7,1,1,52,0,0,0,0,0,0,0,0,1,5,15,
175,6,1,1,54,0,0,0,0,0,0,1,0,0,5,15,22.0
176,3,2,1,27,0,0,0,0,1,0,0,0,0,5,13,13.0
177,5,2,1,66,0,1,0,0,0,0,0,0,0,5,13,3.0
178,6,1,1,28,0,0,1,0,0,0,0,0,0,5,5,11.0
179,1,8,1,24,0,0,0,0,0,0,0,0,1,5,15,
180,5,3,2,35,0,0,1,0,0,0,0,0,0,5,15,7.0
181,6,5,2,52,0,0,0,0,0,0,0,0,1,5,15,
182,5,3,2,35,0,0,1,0,0,0,0,0,0,5,19,3.0
183,5,10,2,33,0,0,0,0,0,0,1,0,0,5,19,21.0
184,5,2,2,30,0,1,0,0,0,0,0,0,0,5,15,19.0
185,6,4,2,38,0,0,1,0,0,0,0,0,0,5,1,11.0
186,2,6,2,22,0,0,0,0,0,0,0,0,1,5,15,
187,7,2,2,24,0,0,0,0,0,0,0,0,1,5,13,
188,6,1,2,60,0,0,0,0,0,0,0,0,1,5,1,
189,7,4,2,32,0,0,0,0,1,0,0,0,0,5,5,7.0
190,7,6,2,22,0,0,0,0,0,0,0,1,0,5,1,
191,3,1,2,54,0,1,0,0,0,0,0,0,0,5,13,21.0
192,4,1,2,65,0,0,0,0,0,0,1,0,0,5,15,11.0
193,5,7,2,57,0,0,0,0,0,0,1,0,0,5,5,21.0
194,9,2,2,30,0,0,0,0,0,0,1,0,0,5,5,10.0
195,7,10,2,65,0,0,0,1,0,0,0,0,0,5,1,20.0
196,5,2,2,43,0,0,0,0,0,0,1,0,0,5,1,13.0
197,4,6,2,22,0,1,0,0,0,0,0,0,0,5,4,7.0
198,6,2,2,37,0,0,1,0,0,0,0,0,0,5,5,11.0
199,6,1,2,60,0,0,0,1,0,0,0,0,0,5,1,11.0
200,6,2,3,23,0,0,0,0,0,0,0,0,1,5,13,
201,8,10,3,32,0,0,0,0,0,0,0,0,1,5,19,
202,8,6,3,40,0,0,0,0,0,0,0,1,0,5,15,
203,6,1,3,49,0,0,0,0,0,0,0,0,1,5,15,
204,11,2,3,53,0,0,0,0,0,0,0,0,1,5,1,
205,10,2,3,37,0,0,1,0,0,0,0,0,0,5,19,11.0
206,8,6,3,40,0,0,0,0,0,0,0,1,0,5,5,
207,10,2,3,57,0,0,0,0,0,0,1,0,0,5,19,9.0
208,10,2,3,57,0,0,0,0,0,0,1,0,0,5,15,21.0
209,6,8,3,69,0,0,0,0,1,0,0,0,0,5,1,9.0
210,6,2,3,58,0,0,0,0,0,0,0,0,1,5,5,
211,6,6,3,55,0,0,0,0,0,0,1,0,0,5,19,9.0
212,5,1,3,51,0,0,0,0,0,0,1,0,0,5,1,21.0
213,7,2,3,70,0,0,0,0,0,0,0,0,1,5,15,
214,6,6,3,57,0,0,0,0,0,0,0,0,1,5,15,
215,8,10,3,32,0,0,0,0,0,0,0,0,1,5,15,
216,2,10,3,58,0,0,0,0,0,0,1,0,0,5,19,9.0
217,8,2,3,41,0,0,0,0,0,0,0,0,1,5,1,
218,9,10,3,67,0,0,0,0,0,0,1,0,0,5,15,9.0
219,8,2,3,59,0,0,0,0,0,0,0,0,1,5,15,
220,6,10,4,56,0,0,0,0,1,0,0,0,0,5,18,13.0
221,4,8,4,53,0,1,0,0,0,0,0,0,0,5,19,21.0
222,5,2,4,29,0,0,0,0,0,0,0,1,0,5,1,
223,10,4,4,40,0,0,0,0,0,0,0,0,1,5,19,
224,11,6,4,50,0,0,0,0,0,0,0,0,1,5,19,
225,8,10,4,31,0,0,0,0,0,0,1,0,0,5,1,9.0
226,6,1,4,67,0,0,0,0,1,0,0,0,0,5,5,10.0
227,6,2,4,29,0,0,0,0,0,0,0,0,1,5,1,
228,11,6,4,51,0,0,0,0,1,0,0,0,0,5,15,11.0
229,4,1,4,78,0,0,0,0,1,0,0,0,0,5,5,9.0
230,10,2,4,37,0,0,0,0,0,0,0,0,1,5,1,
231,8,1,4,31,0,0,1,0,0,0,0,0,0,5,13,11.0
232,9,8,4,49,0,0,0,0,0,0,1,0,0,5,15,9.0
233,11,2,4,51,0,0,0,0,1,0,0,0,0,5,15,11.0
234,10,2,4,32,0,0,0,0,0,0,0,0,1,5,1,
235,11,2,4,60,0,0,0,0,0,0,0,0,1,5,15,
236,11,10,4,74,0,0,1,0,0,0,0,0,0,5,19,21.0
237,11,2,4,30,0,0,0,0,1,0,0,0,0,5,1,13.0
238,8,1,4,44,0,1,0,0,0,0,0,0,0,5,15,21.0
239,11,2,4,65,0,0,0,0,0,0,0,1,0,5,1,
240,8,8,5,17,0,0,0,0,0,0,0,0,1,5,15,
241,7,6,5,16,0,0,0,0,0,0,1,0,0,5,4,19.0
242,7,8,5,16,0,0,0,0,0,0,0,0,1,5,1,
243,1,5,5,17,0,0,0,0,0,0,0,0,1,5,15,
244,7,4,5,17,0,0,0,0,0,0,0,0,1,5,4,
245,7,4,5,17,0,0,0,0,0,0,0,0,1,5,5,
246,6,8,5,16,0,0,0,0,1,0,0,0,0,5,5,21.0
247,5,6,5,17,0,0,0,0,0,0,1,0,0,5,1,9.0
248,7,6,5,17,0,0,0,1,0,0,0,0,0,5,5,11.0
249,6,8,5,16,0,0,0,0,1,0,0,0,0,5,15,3.0
250,1,5,5,17,0,0,0,0,0,0,0,0,1,5,19,
251,4,8,5,17,0,0,0,0,0,0,0,0,1,5,5,
252,7,8,5,16,0,0,0,0,0,0,0,0,1,5,1,
253,4,8,5,17,0,0,0,0,0,0,0,0,1,5,5,
254,4,8,5,17,0,0,0,0,0,0,0,0,1,5,1,
255,6,8,5,16,0,0,1,0,0,0,0,0,0,5,1,11.0
256,6,8,5,16,0,0,1,0,0,0,0,0,0,5,5,11.0
257,8,8,5,17,0,1,0,0,0,0,0,0,0,5,1,3.0
258,1,7,5,17,0,0,0,0,0,1,0,0,0,5,5,21.0
259,7,4,5,16,0,0,0,0,0,0,1,0,0,5,19,20.0
260,4,2,1,59,0,0,0,0,0,0,0,1,0,7,15,
261,6,10,1,57,0,1,0,0,0,0,0,0,0,7,19,9.0
262,5,6,1,25,0,0,0,0,0,0,0,0,1,7,14,
263,3,6,1,57,0,0,0,0,1,0,0,0,0,7,15,7.0
264,7,2,1,30,0,0,0,0,0,0,1,0,0,7,5,9.0
265,2,1,1,26,0,0,0,0,1,0,0,0,0,7,1,9.0
266,8,10,1,52,0,0,0,0,0,0,0,0,1,7,1,
267,6,1,1,29,0,0,1,0,0,0,0,0,0,7,15,23.0
268,2,6,1,40,0,0,0,0,0,0,0,0,1,7,15,
269,7,7,1,38,0,0,0,0,0,0,0,0,1,7,5,
270,4,1,2,54,0,0,0,0,0,0,1,0,0,7,1,11.0
271,2,6,2,22,0,0,0,0,0,0,0,0,1,7,1,
272,6,2,2,40,0,0,0,0,0,0,0,0,1,7,19,
273,6,10,2,60,0,0,0,0,0,0,0,0,1,7,13,
274,5,5,2,56,0,0,0,0,1,0,0,0,0,7,13,11.0
275,6,2,2,40,0,0,0,0,0,0,0,0,1,7,13,
276,5,5,2,56,0,0,0,0,1,0,0,0,0,7,15,21.0
277,6,2,2,59,0,0,0,0,0,0,0,0,1,7,13,
278,6,2,2,59,0,0,0,0,0,0,0,0,1,7,5,
279,6,4,2,38,0,0,1,0,0,0,0,0,0,7,15,9.0
280,9,4,3,39,0,0,0,0,0,0,1,0,0,7,1,23.0
281,7,4,3,50,0,0,0,0,0,0,0,0,1,7,12,
282,3,6,3,43,0,0,0,0,0,0,0,0,1,7,5,
283,6,2,3,51,0,0,0,0,1,0,0,0,0,7,15,9.0
284,10,2,3,57,0,0,0,0,0,0,1,0,0,7,1,19.0
285,3,2,3,48,0,0,0,0,0,0,1,0,0,7,15,21.0
286,8,8,3,19,0,0,0,0,0,0,0,0,1,7,13,
287,6,2,3,51,0,0,0,0,1,0,0,0,0,7,19,6.0
288,8,6,3,51,0,0,1,0,0,0,0,0,0,7,5,9.0
289,6,1,3,46,0,0,0,0,1,0,0,0,0,7,1,21.0
290,10,2,4,29,0,0,0,0,0,0,0,0,1,7,5,
291,11,2,4,26,0,0,0,0,0,0,0,0,1,7,15,
292,7,2,4,28,0,0,0,0,0,0,1,0,0,7,5,3.0
293,8,2,4,23,0,0,0,1,0,0,0,0,0,7,5,19.0
294,11,2,4,64,0,0,0,0,0,0,0,0,1,7,19,
295,6,2,4,26,0,0,0,0,0,0,0,0,1,7,19,
296,9,8,4,49,0,0,0,0,0,0,1,0,0,7,4,19.0
297,7,5,4,48,0,0,0,0,1,0,0,0,0,7,1,11.0
298,10,2,4,56,0,0,0,0,0,0,0,0,1,7,1,
299,8,2,4,24,0,0,0,0,0,0,0,0,1,7,19,
300,10,8,5,17,0,0,0,0,0,0,0,0,1,7,19,
301,8,6,5,16,0,1,0,0,0,0,0,0,0,7,4,9.0
302,6,8,5,16,0,0,0,0,1,0,0,0,0,7,1,19.0
303,8,8,5,17,0,0,0,0,0,0,0,0,1,7,19,
304,8,6,5,16,0,1,0,0,0,0,0,0,0,7,5,21.0
305,1,6,5,17,0,0,0,0,0,0,1,0,0,7,15,11.0
306,8,8,5,16,0,0,0,0,0,0,1,0,0,7,13,21.0
307,7,8,5,16,0,0,0,0,0,0,0,0,1,7,1,
308,7,4,5,16,0,0,0,0,0,0,1,0,0,7,13,13.0
309,7,4,5,16,0,0,0,0,0,0,1,0,0,7,1,7.0
310,3,2,1,22,0,0,1,0,0,0,0,0,0,13,5,11.0
311,5,6,1,40,0,0,0,0,0,0,1,0,0,13,1,13.0
312,8,2,1,52,0,0,0,0,0,1,0,0,0,13,0,3.0
313,10,4,1,51,0,0,0,0,1,0,0,0,0,13,5,11.0
314,4,6,1,42,0,0,0,0,0,0,0,0,1,13,15,
315,9,2,1,24,0,0,0,0,0,0,1,0,0,13,15,19.0
316,6,1,1,29,0,0,1,0,0,0,0,0,0,13,1,9.0
317,7,10,1,33,0,0,0,0,0,0,0,0,1,13,19,
318,6,6,1,50,0,0,1,0,0,0,0,0,0,13,19,9.0
319,8,2,1,52,0,0,0,0,0,1,0,0,0,13,1,9.0
320,8,4,2,31,0,1,0,0,0,0,0,0,0,13,15,11.0
321,6,2,2,59,0,0,0,0,0,0,0,0,1,13,1,
322,3,1,2,54,0,1,0,0,0,0,0,0,0,13,1,9.0
323,6,5,2,52,0,0,0,0,0,0,0,0,1,13,1,
324,10,2,2,38,0,0,0,0,0,0,1,0,0,13,1,13.0
325,5,2,2,43,0,0,0,0,0,0,1,0,0,13,15,3.0
326,8,8,2,43,0,0,0,0,0,0,1,0,0,13,1,11.0
327,7,6,2,22,0,0,0,0,0,0,0,1,0,13,15,
328,2,4,2,39,0,0,0,1,0,0,0,0,0,13,15,9.0
329,5,10,2,68,0,0,0,0,1,0,0,0,0,13,1,11.0
330,6,1,3,46,0,0,0,0,1,0,0,0,0,13,5,7.0
331,5,10,3,59,0,0,0,1,0,0,0,0,0,13,15,8.0
332,8,8,3,22,0,0,0,0,0,0,0,0,1,13,5,
333,4,8,3,59,0,0,0,0,0,0,0,0,1,13,1,
334,2,10,3,58,0,0,0,0,0,0,1,0,0,13,1,9.0
335,10,10,3,56,0,0,0,0,0,0,0,1,0,13,1,
336,6,10,3,65,0,0,0,0,0,0,1,0,0,13,19,11.0
337,5,1,3,51,0,0,0,0,0,0,1,0,0,13,19,13.0
338,9,4,3,39,0,0,0,0,0,0,1,0,0,13,5,11.0
339,10,2,3,57,0,0,0,0,0,0,1,0,0,13,15,3.0
340,7,4,4,30,0,0,0,1,0,0,0,0,0,13,13,9.0
341,6,1,4,56,0,0,0,0,0,0,0,1,0,13,15,
342,7,8,4,47,0,0,0,0,0,0,0,0,1,13,5,
343,6,1,4,58,0,0,0,1,0,0,0,0,0,13,15,19.0
344,9,6,4,48,0,1,0,0,0,0,0,0,0,13,15,7.0
345,8,10,4,26,0,0,0,0,0,0,0,0,1,13,1,
346,11,1,4,42,0,1,0,0,0,0,0,0,0,13,1,11.0
347,9,1,4,38,0,0,0,0,0,0,0,0,1,13,0,
348,6,1,4,40,0,0,0,0,0,0,1,0,0,13,5,21.0
349,6,2,4,23,0,0,0,0,0,0,0,0,1,13,19,
350,8,8,5,17,0,1,0,0,0,0,0,0,0,13,15,11.0
351,5,6,5,17,0,0,0,0,0,0,0,0,1,13,19,
352,5,6,5,17,0,0,0,0,0,0,1,0,0,13,1,19.0
353,7,4,5,17,0,0,0,0,0,0,0,0,1,13,15,
354,4,8,5,17,0,0,0,0,0,0,0,0,1,13,1,
355,8,8,5,17,0,1,0,0,0,0,0,0,0,13,15,19.0
356,5,7,5,16,0,0,0,0,1,0,0,0,0,13,1,21.0
357,7,6,5,16,0,0,0,0,0,0,1,0,0,13,1,19.0
358,8,8,5,17,0,1,0,0,0,0,0,0,0,13,5,21.0
359,6,8,5,16,0,0,1,0,0,0,0,0,0,13,15,9.0
360,8,2,1,59,0,0,0,0,0,0,0,1,0,16,12,
361,7,10,1,45,0,0,0,0,0,0,0,0,1,16,1,
362,1,1,1,62,0,0,0,0,0,0,1,0,0,16,19,7.0
363,1,2,1,65,0,1,0,0,0,0,0,0,0,16,15,19.0
364,2,5,1,51,0,0,0,0,0,0,1,0,0,16,1,19.0
365,4,2,1,28,0,0,0,0,0,0,0,0,1,16,15,
366,6,10,1,57,0,0,0,0,0,0,0,1,0,16,15,
367,8,10,1,52,0,0,0,0,0,0,0,0,1,16,5,
368,4,6,1,38,0,0,0,0,0,0,0,0,1,16,1,
369,1,6,1,28,0,0,0,0,0,0,1,0,0,16,15,7.0
370,3,2,1,27,0,0,0,0,1,0,0,0,0,16,13,9.0
371,4,4,1,43,0,0,0,0,0,0,0,0,1,16,1,
372,8,1,1,43,0,0,0,1,0,0,0,0,0,16,13,13.0
373,3,10,1,43,0,0,0,0,1,0,0,0,0,16,1,21.0
374,3,6,1,35,0,0,1,0,0,0,0,0,0,16,15,11.0
375,1,10,1,71,0,0,0,1,0,0,0,0,0,16,19,12.0
376,6,2,1,63,0,0,0,0,1,0,0,0,0,16,5,7.0
377,7,7,1,38,0,0,0,0,0,0,0,0,1,16,13,
378,7,4,1,56,0,0,0,0,0,0,0,0,1,16,13,
379,8,8,1,41,0,0,0,0,0,0,0,0,1,16,14,
380,8,2,1,64,0,0,0,0,0,0,0,0,1,16,15,
381,8,6,1,43,0,1,0,0,0,0,0,0,0,16,13,9.0
382,6,1,1,56,0,0,0,0,1,0,0,0,0,16,1,7.0
383,9,2,1,24,0,0,0,0,0,0,1,0,0,16,19,7.0
384,8,8,1,41,0,0,0,0,0,0,0,0,1,16,1,
385,11,2,1,41,0,0,0,0,0,0,0,0,1,16,1,
386,3,1,1,56,0,0,0,1,0,0,0,0,0,16,1,11.0
387,5,6,1,40,0,0,0,0,0,0,1,0,0,16,15,9.0
388,5,1,1,62,0,0,0,0,0,0,1,0,0,16,15,9.0
389,10,2,1,64,0,0,0,0,0,0,1,0,0,16,1,11.0
390,6,10,1,57,0,0,0,0,0,0,0,1,0,16,13,
391,4,4,1,34,0,0,0,0,0,0,0,0,1,16,19,
392,7,7,1,38,0,0,0,0,0,0,0,0,1,16,15,
393,1,2,1,30,0,0,0,0,1,0,0,0,0,16,0,7.0
394,10,2,1,30,0,0,0,0,0,0,0,0,1,16,15,
